spanish,english,domain,collocations
el parque natural,natural park,environment,visitar el parque natural; proteger el parque natural; gestionar el parque natural
la carga de la prueba,burden of proof,legal,soportar la carga de la prueba; invertir la carga de la prueba; valorar la carga de la prueba
el anticiclón,anticyclone,weather,formar el anticiclón; bloquear el anticiclón; predecir el anticiclón
el casco de seguridad,safety helmet,safety,llevar el casco de seguridad; exigir el casco de seguridad; homologar el casco de seguridad
la vía de evacuación,evacuation route,emergency,señalizar la vía de evacuación; bloquear la vía de evacuación; despejar la vía de evacuación
la contaminación acústica,noise pollution,environment,reducir la contaminación acústica; medir la contaminación acústica; denunciar la contaminación acústica
la responsabilidad civil,civil liability,legal,asumir la responsabilidad civil; reclamar la responsabilidad civil; asegurar la responsabilidad civil
la helada,frost,weather,sufrir la helada; prever la helada; evitar la helada
la protección individual,individual protection,safety,usar la protección individual; dotar de protección individual; verificar la protección individual
la alerta roja,red alert,emergency,activar la alerta roja; elevar la alerta roja; mantener la alerta roja
la reserva de la biosfera,biosphere reserve,environment,declarar la reserva de la biosfera; visitar la reserva de la biosfera; proteger la reserva de la biosfera
la nubosidad,cloudiness,weather,aumentar la nubosidad; observar la nubosidad; predecir la nubosidad
el chaleco reflectante,reflective vest,safety,ponerse el chaleco reflectante; exigir el chaleco reflectante; comprar el chaleco reflectante
el equipo de salvamento,rescue team,emergency,movilizar el equipo de salvamento; dirigir el equipo de salvamento; coordinar el equipo de salvamento
la eficiencia energética,energy efficiency,environment,mejorar la eficiencia energética; medir la eficiencia energética; fomentar la eficiencia energética
el abogado defensor,defense attorney,legal,contratar al abogado defensor; consultar al abogado defensor; escuchar al abogado defensor
la temperatura ambiente,ambient temperature,weather,controlar la temperatura ambiente; medir la temperatura ambiente; estabilizar la temperatura ambiente
la señal de advertencia,warning sign,safety,colocar la señal de advertencia; ignorar la señal de advertencia; respetar la señal de advertencia
la brigada de emergencia,emergency brigade,emergency,formar la brigada de emergencia; movilizar la brigada de emergencia; liderar la brigada de emergencia
el combustible fósil,fossil fuel,environment,eliminar el combustible fósil; sustituir el combustible fósil; quemar el combustible fósil
la citación judicial,court summons,legal,recibir la citación judicial; ignorar la citación judicial; responder a la citación judicial
la tormenta eléctrica,thunderstorm,weather,desatar la tormenta eléctrica; evitar la tormenta eléctrica; observar la tormenta eléctrica
la máscara de gas,gas mask,safety,colocarse la máscara de gas; fabricar la máscara de gas; verificar la máscara de gas
el plan de evacuación,evacuation plan,emergency,diseñar el plan de evacuación; practicar el plan de evacuación; seguir el plan de evacuación
el impacto ecológico,ecological impact,environment,minimizar el impacto ecológico; evaluar el impacto ecológico; analizar el impacto ecológico
la exención de responsabilidad,disclaimer/waiver,legal,firmar la exención de responsabilidad; incluir la exención de responsabilidad; aplicar la exención de responsabilidad
la cota de nieve,snow level,weather,bajar la cota de nieve; subir la cota de nieve; predecir la cota de nieve
la barandilla,railing,safety,instalar la barandilla; reparar la barandilla; apoyarse en la barandilla
el protocolo de emergencia,emergency protocol,emergency,activar el protocolo de emergencia; seguir el protocolo de emergencia; revisar el protocolo de emergencia
el derecho penal,criminal law,legal,estudiar el derecho penal; aplicar el derecho penal; reformar el derecho penal
el temporal,storm/gale,weather,capear el temporal; sufrir el temporal; prever el temporal
la zona de seguridad,safety zone,safety,delimitar la zona de seguridad; entrar en la zona de seguridad; asegurar la zona de seguridad
la unidad de cuidados intensivos,intensive care unit,emergency,ingresar en la unidad de cuidados intensivos; gestionar la unidad de cuidados intensivos; ampliar la unidad de cuidados intensivos
la orden judicial,court order,legal,ejecutar la orden judicial; cumplir la orden judicial; revocar la orden judicial
el boletín meteorológico,weather bulletin,weather,publicar el boletín meteorológico; seguir el boletín meteorológico; analizar el boletín meteorológico
el manual de seguridad,safety manual,safety,leer el manual de seguridad; seguir el manual de seguridad; actualizar el manual de seguridad
el equipo médico de emergencia,emergency medical team,emergency,llamar al equipo médico de emergencia; coordinar al equipo médico de emergencia; esperar al equipo médico de emergencia
la radiación,radiation,environment,medir la radiación; emitir radiación; exponerse a la radiación; bloquear la radiación
la racha,gust/streak,weather,soportar una racha; registrar una racha; alcanzar una racha; predecir una racha
la catástrofe,catastrophe,emergency,evitar la catástrofe; prever la catástrofe; desencadenar la catástrofe; superar la catástrofe
el desecho,waste,environment,gestionar el desecho; reciclar el desecho; eliminar el desecho; acumular el desecho
el casco,helmet,safety,ponerse el casco; llevar el casco; quitarse el casco; homologar el casco
el chaleco,vest,safety,llevar el chaleco; ponerse el chaleco; homologar el chaleco; suministrar el chaleco
la tormenta,storm,weather,desatarse la tormenta; soportar la tormenta; prever la tormenta; capear la tormenta
la máscara,mask,safety,ajustar la máscara; quitarse la máscara; ponerse la máscara; filtrar con la máscara
la cota,level/altitude,weather,alcanzar la cota; superar la cota; bajar la cota; establecer la cota
el ciberataque,cyberattack,tech,sufrir un ciberataque; prevenir un ciberataque; detectar un ciberataque; investigar un ciberataque
la encriptación,encryption,tech,reforzar la encriptación; implementar la encriptación; romper la encriptación; asegurar mediante encriptación
el flujo,flow/cash flow,money,gestionar el flujo; aumentar el flujo; controlar el flujo; interrumpir el flujo
el desperfecto,damage/flaw,repairs,detectar un desperfecto; reparar un desperfecto; notificar un desperfecto; evaluar un desperfecto
el civismo,civility,community,demostrar civismo; fomentar el civismo; carecer de civismo; promover el civismo
el desenlace,outcome/ending,media,prever el desenlace; evitar el desenlace; conocer el desenlace; precipitar el desenlace
la disyuntiva,dilemma,admin,plantear una disyuntiva; enfrentar una disyuntiva; resolver una disyuntiva; ante la disyuntiva
la controversia,controversia,media,suscitar controversia; generar controversia; evitar la controversia; alimentar la controversia
la cautela,caution,safety,actuar con cautela; recomendar cautela; pedir cautela; mantener la cautela
la inmediatez,immediacy,tech,exigir inmediatez; valorar la inmediatez; perder la inmediatez; buscar la inmediatez
la credibilidad,credibility,media,ganar credibilidad; perder credibilidad; cuestionar la credibilidad; mantener la credibilidad
la susceptibilidad,susceptibility,emotion,evitar susceptibilidades; herir susceptibilidades; mostrar susceptibilidad; reducir la susceptibilidad
la rigurosidad,rigor,education,aplicar rigurosidad; exigir rigurosidad; valorar la rigurosidad; perder rigurosidad
la escalabilidad,scalability,tech,analizar la escalabilidad; mejorar la escalabilidad; probar la escalabilidad; limitar la escalabilidad
la reticencia,reluctance,emotion,mostrar reticencia; vencer la reticencia; notar la reticencia; superar la reticencia
la diversificación,diversification,money,fomentar la diversificación; impulsar la diversificación; analizar la diversificación; evitar la diversificación
la obsolescencia,obsolescence,tech,evitar la obsolescencia; acelerar la obsolescencia; combatir la obsolescencia; gestionar la obsolescencia
la interrupción,interruption,tech,evitar interrupciones; sufrir interrupciones; causar interrupciones; minimizar interrupciones
la desinformación,misinformation,media,combatir la desinformación; evitar la desinformación; propagar la desinformación; frenar la desinformación
la adaptabilidad,adaptability,work,demostrar adaptabilidad; fomentar la adaptabilidad; mejorar la adaptabilidad; exigir adaptabilidad
la alerta,alert,safety,emitir una alerta; activar la alerta; recibir una alerta; cancelar la alerta
la emisión,emission,environment,reducir las emisiones; controlar las emisiones; limitar las emisiones; medir las emisiones
